Name,Latitude,Longitude,Type,subtype1,subtype2,City,Address,Link,,
ACME Markets,41.1944643,-74.4834879,grocery,y,y,Vernon NJ,530 Rt 515 Unit 1  Vernon Township,https://www.google.com/maps/place/?q=place_id:ChIJRTRy2Og9w4kR15h1H6PfjXc,,
ALDI,35.1642809,-83.371971,grocery,y,y,Franklin TN,1320 Siler Road  Franklin,https://www.google.com/maps/place/?q=place_id:ChIJK5WHoPolWYgR7dbI4Ep38VY,,
ALDI,40.1966451,-77.1561979,grocery,y,y,Carlisle PA,250 Westminster Drive  Carlisle,https://www.google.com/maps/place/?q=place_id:ChIJYROggq7hyIkRcBYT9FYPJvk,,
ALDI,40.56140009999999,-76.0085898,grocery,y,y,Hamburg PA,15 Wilderness Trail  Hamburg,https://www.google.com/maps/place/?q=place_id:ChIJ93mVrYLdxYkRDf0tkTX8J1M,,
ALDI,41.3122783,-74.1331702,grocery,y,y,Harriman NY,45 Centre Drive  Central Valley,https://www.google.com/maps/place/?q=place_id:ChIJvUFMSA7XwokR8cRs7yHD-Mw,,
ALDI,42.89536539999999,-73.2009199,grocery,y,y,Bennington VT,10 Kocher Drive  Bennington,https://www.google.com/maps/place/?q=place_id:ChIJpx_I7Y2W4IkRvfONzBbGPqM,,
ALDI,43.5901847,-72.9696106,grocery,y,y,Rutland VT,263 South Main Street  Rutland,https://www.google.com/maps/place/?q=place_id:ChIJdZiwIGAk4IkRRK0mkkLaeSk,,
BG's Value Market of Pine Grove,40.5566093,-76.3783209,grocery,y,y,Pine Grove PA,24 Pleasant Valley Road  Pine Grove,https://www.google.com/maps/place/?q=place_id:ChIJIbXIK0z5xYkRjHJuWNi8GG0,,
Big Y World Class Market,42.1805805,-73.3659852,grocery,y,y,Great Barrington MA,740 South Main Street  Great Barrington,https://www.google.com/maps/place/?q=place_id:ChIJHydPVKlm54kRqGQDKANPCa8,,
Big Y World Class Market,42.29584860000001,-73.2405977,grocery,y,y,Lee MA,10 Pleasant Street  Lee,https://www.google.com/maps/place/?q=place_id:ChIJe4vDeA5D54kRFO8TXs2beg0,,
Big Y World Class Market,42.7011547,-73.1105841,grocery,y,y,North Adams MA,45 Veterans Memorial Drive  North Adams,https://www.google.com/maps/place/?q=place_id:ChIJnzpnrT-44IkRCw7vr48_d6M,,
Boyer's Food Market Pine Grove,40.56054690000001,-76.3922501,grocery,y,y,Pine Grove PA,30 Lovers Lane  Pine Grove,https://www.google.com/maps/place/?q=place_id:ChIJJbvEzTb5xYkRVreNujEOstY,,
Carlisle Barracks Commissary,40.2096199,-77.1690084,grocery,y,y,Carlisle PA,851 Sumner Road  Carlisle,https://www.google.com/maps/place/?q=place_id:ChIJfQ2DZzbgyIkRE-n7W1F2fno,,
Co-op Food StoresHanover,43.6981687,-72.2806136,grocery,y,y,Hanover NH,45 South Park Street  Hanover,https://www.google.com/maps/place/?q=place_id:ChIJcU3Lv-HJtEwR1LuZIZWiWYo,,
Country Harvest Family Market,40.8044444,-75.6025,grocery,y,y,Palmerton PA,572 Delaware Avenue  Palmerton,https://www.google.com/maps/place/?q=place_id:ChIJ2yNICpJOxIkR57YZCHeBATY,,
CTown Supermarkets,41.2906088,-73.91778,grocery,y,y,Peekskill NY,1049 Park Street  Peekskill,https://www.google.com/maps/place/?q=place_id:ChIJoeEl9tvIwokRS27EFPVYu0s,,
Davis IGA,41.72772079999999,-73.4717961,grocery,y,y,Kent CT,27 Kent Green Boulevard  Kent,https://www.google.com/maps/place/?q=place_id:ChIJYyJI5uRh3YkRXgjB3aFXQWk,,
Food City,36.1485932,-82.4183768,grocery,y,y,Erwin TN,110 North Industrial Drive  Erwin,https://www.google.com/maps/place/?q=place_id:ChIJAzEpuvRvWogRMkgm2erv99w,,
Food City,36.6410791,-81.7983321,grocery,y,y,Damascus VA,736 North Beaver Dam Avenue  Damascus,https://www.google.com/maps/place/?q=place_id:ChIJncRKq9tAUIgRmGz7kYbzhlU,,
Food City,36.84093860000001,-81.5057347,grocery,y,y,Marion VA,910 North Main Street  Marion,https://www.google.com/maps/place/?q=place_id:ChIJKf7jmbfSUYgRypMZerGCpMw,,
Fotter's Market,45.14119820000001,-70.4435729,grocery,y,y,Stratton ME,157 Main Street  Stratton,https://www.google.com/maps/place/?q=place_id:ChIJVVVVVeUfsUwR8dY04KV1U14,,
Grand Union Supermarkets,43.6095103,-72.971793,grocery,y,y,Rutland VT,12 S Main St. &  Norton Place  Rutland,https://www.google.com/maps/place/?q=place_id:ChIJB0vYO2ck4IkRZkCB67FTQQo,,
Grant's IGA Supermarket,37.1004831,-81.1145329,grocery,y,y,Bland VA,615 Main Street  Bland,https://www.google.com/maps/place/?q=place_id:ChIJS3E90q0ZTogRUrvNRFJjQXU,,
Guido's Fresh Marketplace,42.179621,-73.364708,grocery,y,y,Great Barrington MA,760 South Main Street  Great Barrington,https://www.google.com/maps/place/?q=place_id:ChIJV_E6VKlm54kRAfd6jol_pRQ,,
Hannaford,43.5858388,-72.9709554,grocery,y,y,Rutland VT,318 South Main Street  Rutland,https://www.google.com/maps/place/?q=place_id:ChIJ4xAIeZMk4IkRcS9TFBl_3NE,,
