Name,Latitude,Longitude,DistanceFromTrail(feet),Bearing(degrees),DistanceAlongTrail(miles),Source CSV,Row Number,ResupplyCityLat,ResupplyCityLong,MilestoTown,RouteID
Penny Road,41.609459,-73.62741,unclassified,,,crossing.csv,,,,,
2nd Alley,40.39606800680033,-77.02734338,residential,394916,,crossing.csv,,,,,
Albany Post Road,41.350567127682574,-73.92595661,trunk,2007688,US 9;US 6 Alt;US 202 Alt,crossing.csv,,,,,
Alhambra Road,37.77994089999999,-79.1822088,unclassified,2007649,,crossing.csv,,,,,
Allen Street,43.70146392365931,-72.2895069,unclassified,2007646,,crossing.csv,,,,,
Ann Street,40.39145580865776,-77.03104782,tertiary,394916,,crossing.csv,,,,,
Anthony Wayne Drive,41.2990287,-74.0277209,unclassified,2007688,,crossing.csv,,,,,
Anthony Wayne Trail,41.3003283,-74.0255677,track,2007688,,crossing.csv,,,,,
Appalachian And Lakeshore Trailhead Parking,35.4604453,-83.8110764,service,2007645,,crossing.csv,,,,,
Appalachian Drive,40.21835900205782,-77.10634887,unclassified,394916,,crossing.csv,,,,,
Appalachian Drive,40.22058130000033,-77.1029874,residential,394916,,crossing.csv,,,,,
Appalachian Trail Road,40.0797409,-77.1929029,residential,394916,,crossing.csv,,,,,
Appalachian Trail Service/ Access Road,40.25144334581686,-77.10374541,service,394916,,crossing.csv,,,,,
Appalachian Trail; Long Trail,43.0597616,-72.9699931,track,392991,,crossing.csv,,,,,
Appalachian Trail; Long Trail,43.05334699999642,-72.9746469,track,392991,,crossing.csv,,,,,
Appalachian Trail;Long Trail,43.1540226,-73.0083646,track,392991,,crossing.csv,,,,,
Apple Street,40.39007003403079,-77.03102057,service,394916,,crossing.csv,,,,,
Arden Valley Road,41.266800000000046,-74.158541,tertiary,2007688,,crossing.csv,,,,,
Arden Valley Road,41.2655514,-74.1542266,tertiary,2007688,,crossing.csv,,,,,
Arden Valley Road,41.27515235443422,-74.09410545,tertiary,2007688,,crossing.csv,,,,,
Arnoldstown Road,39.405727700000014,-77.6396702,residential,2007644,,crossing.csv,,,,,
Asheville Highway,35.98693661531356,-82.78678631,trunk,2007647,SR 70,crossing.csv,,,,,
Ashfield Road,40.769786,-75.694206,residential,394916,,crossing.csv,,,,,
Assisi Lane,41.35355020017904,-73.9173142,service,2007688,,crossing.csv,,,,,
Bake Oven Road,40.744394915932055,-75.73829117,unclassified,394916,,crossing.csv,,,,,
Bald Mountain Stream Road,45.27628025070724,-69.68991181,residential,2007932,,crossing.csv,,,,,
Ball Creek Road,35.0354605,-83.4700859,track,2007645,FS 83,crossing.csv,,,,,
Baltimore Pike,40.09182270448228,-77.1678092,trunk,394916,PA 94,crossing.csv,,,,,
Barbour Street,42.696367594824416,-73.1566219,residential,2991960,,crossing.csv,,,,,
Barnard Road,43.6546828,-72.5656093,secondary,392991,VT 12,crossing.csv,,,,,
Barrett Road,41.21435490000002,-74.4210428,tertiary,2007688,,crossing.csv,,,,,
Bartlett Brook Road,43.68510386782329,-72.53486465,residential,392991,,crossing.csv,,,,,
Bear Branch Road,36.17942614804866,-82.01246436,residential,2007647,,crossing.csv,,,,,
Bear Den Mountain Road,38.0654768,-78.8033371,service,2007649,,crossing.csv,,,,,
Bear Den Mountain Trail,38.0662011,-78.8007179,service,2007649,,crossing.csv,,,,,
Bear Den Mountian Road,38.06527887989416,-78.80373903,service,2007649,,crossing.csv,,,,,
Bear Mountain Bridge,41.3199109,-73.980228,trunk,2007688,US 6;US 202,crossing.csv,,,,,
Bear Mountain-Beacon Highway,41.3225321,-73.9760973,secondary,2007688,NY 9D;US 6 Alt;US 202 Alt,crossing.csv,,,,,
Bear Mountain-Beacon Highway,41.3200392,-73.9794749,secondary,2007688,NY 9D;US 6 Alt;US 202 Alt,crossing.csv,,,,,
Bear River Road,44.59023219726073,-70.94643717,secondary,2007932,ME 26,crossing.csv,,,,,
Beartown Mountain Road,42.2293756,-73.2479796,unclassified,2991960,,crossing.csv,,,,,
Beauty Spot Gap Road,36.116081904092425,-82.34900781,track,2007647,,crossing.csv,,,,,
Beech Grove Road,37.901287442043625,-78.98521089,tertiary,2007649,SR 664,crossing.csv,,,,,
Beech Hill Road,44.89248412230421,-70.53507771,unclassified,2007932,,crossing.csv,,,,,
Beech Mountain Road,36.63725595389833,-81.64041185,residential,2007649,SR 601,crossing.csv,,,,,
Bemis Road,44.83482829999999,-70.7241805,service,2007932,,crossing.csv,,,,,
Ben Creek Road,35.222324116091556,-83.56225303,residential,2007645,,crossing.csv,,,,,
Bendersville Lane,40.031786,-77.309209,unclassified,394916,,crossing.csv,,,,,
Bendersville Road,40.032004,-77.3074641,unclassified,394916,,crossing.csv,,,,,
Bernheisel Bridge Road,40.24430859999999,-77.1012537,residential,394916,,crossing.csv,,,,,
Bernheisel Bridge Road,40.2486901,-77.102121,residential,394916,,crossing.csv,,,,,
Bernheisel Bridge Road,40.24037799999999,-77.0999729,residential,394916,,crossing.csv,,,,,
Big Bald Road,35.9914665,-82.4877596,service,2007647,,crossing.csv,,,,,
Big Bald Road,35.99103508693231,-82.49028014,service,2007647,,crossing.csv,,,,,
Big Butt Road,36.06636819999999,-82.6323142,track,2007647,FS 94A,crossing.csv,,,,,
Big Butt Road,36.065784214269485,-82.63572718,track,2007647,FS 94A,crossing.csv,,,,,
Big Butt Road,36.065030311345005,-82.63868541,track,2007647,FS 94A,crossing.csv,,,,,
Big Stony Creek Road,37.41416179849534,-80.58411941,secondary,2007649,SR 635,crossing.csv,,,,,
Blacksburg Road,37.35755711307765,-80.14295228,secondary,2007649,SR 785,crossing.csv,,,,,
Blotz Road,42.409397,-73.149774,residential,2991960,,crossing.csv,,,,,
Blue Hill Road,42.1950749,-73.2850214,residential,2991960,,crossing.csv,,,,,
