City,Latitude - crossing,Longitude - crossing,Latitude - town,Longitude - town,Route ID,Type,Miles to Town formula,Miles to Town,,,Name
Mountain Crossings,34.73538,-83.917895,,,1,Full Resupply,On Trail,On Trail,,,
Hiawassee GA,34.802493,-83.742943,34.945887,-83.753682,2,City,11.212501437390802,11.2,,,"Mile 31 – Mountain Crossings:A full-service outfitter with full resupply, the trail will run you right into the front door of this first stop along the trail. As mentioned above, you don’t need more than four days of food to get you here."
Hiawassee GA,34.912473,-83.619347,34.945887,-83.753682,3,City,10.18368747127175,10.2,,,"Mile 53 OR 70– Hiawassee, GA: Multiple shuttles are available into town. Home to Trailful, a full service outfitter and resupply shop. Free shuttles upon request are included if you stay at Hostel Around the Bend, 706-389-9668. They also carry outdoor gear and some food. Town has a full grocery store (Ingles) and Dollar General."
Franklin TN,35.121635,-83.546572,35.176641,-83.38388,4,City,11.570235610507535,11.6,,,"Mile 109 – Franklin, NC: At Winding Stair Gap, US 64, hitch a ride into Franklin. Check out Outdoor 76 outfitter for gear, resupply, and a 10 percent hiker discount. While in town, visit the Lazy Hiker Brewing Companyand Rock House Lodge (attached to the Outdoor 76 outfitter) to celebrate exiting your first state! You can also resupply at Ingles or Dollar General in town."
Nantahala Outdoor Center  NOC,35.332246,-83.591901,,,5,Full Resupply/Hostel,On Trail,On Trail,,,Mile 137 –Nantahala Outdoor Center:No hitch required! NOC Outfitters is on-site with gear and food resupply. NOC Base Camp and Cabins has bunk-style rooms and a shared kitchen.
Fontana Dam NC,35.452001,-83.801084,,,6,City,On Trail,On Trail,,,"Mile 164 – Fontana General Store: Located two miles west of the AT from the point you cross Hwy 28. The trail takes you right to the visitor’s center, which offers snacks, but I wouldn’t call it a full resupply. Due to the limited (and expensive) grocery selection in this town, many hikers choose to send resupply boxes to the post office here. This is your last chance to print your Smokies permit and to resupply before entering the Great Smoky Mountains National Park."
Gatlinburg TN,35.611237,-83.42534,35.706195,-83.522649,7,City,14.602107084254655,14.6,,,"Mile 208 – Newfound Gap, Gatlinburg: A shuttle or hitch is definitely required to make it 15 miles from here into Gatlinburg, but if you’ve never experienced the city, it’s worth the trip! Resupply options, honestly, aren’t as great as you’d expect in a town with so much to offer, but there’s enough to be found at pharmacies and the tiny grocers on the strip to make it another few days on trail. The free Gatlinburg Trolley can take you to a Food City at the north end of town. Unique experiences, a plethora of food, and Smoky Mountain Brewery are a few notable mentions in town. From Newfound Gap, you can also hitch to Cherokee instead for better grocery options."
Cherokee NC,35.611282,-83.425821,35.477517,-83.320486,8,City,19.131333594865872,19.1,,,
Standing Bear Hostel,35.783068,-83.102272,35.785754,-83.101749,9,Small Resupply/Hostel,0.1973956691712736,0.2,,,"Mile 242 –Standing Bear Farm Hostel (423-487-0014), off of Green Corner Road: Though certainly not a Walmart, this hostel offers adequate resupply options as you exit the Smokies."
Hot Springs NC,35.891885,-82.82934,,,10,City,On Trail,On Trail,,,"Mile 275 – Hot Springs, NC:The white blazes lead you right through this awesome trail town! There are several hostel options, including Elmers Sunnybank Inn and Hostel 828-622-7206) and Laughing Heart Hostel (828-206-8487), and several resupply spots in town including Bluff Mountain Outfitters (828-622-7162) and Dollar General."
