latitude,longitude,elevation,distance_along_trail_miles
34.626618,-84.193819,3771.32558,0
34.627607,-84.194056,3748.3597,0.071493
34.628051,-84.194424,3719.488308,0.109994
34.628397,-84.194403,3721.456812,0.134515
34.628817,-84.194553,3706.364948,0.165646
34.629781,-84.194421,3716.863636,0.234335
34.630593,-84.195035,3685.039488,0.302386
34.630878,-84.195121,3678.805892,0.323209
34.63166,-84.195607,3643.37282,0.385808
34.632267,-84.196272,3610.892504,0.444105
34.632976,-84.197246,3567.9135,0.520485
34.633241,-84.197477,3550.853132,0.543838
34.633696,-84.197647,3526.903,0.577859
34.634638,-84.19762,3513.123472,0.644599
34.635709,-84.197392,3492.782264,0.721661
34.636074,-84.197441,3472.76914,0.747941
34.636879,-84.197328,3443.897748,0.805568
34.637527,-84.197055,3417.979112,0.85439
34.637698,-84.196812,3405.840004,0.873207
34.637718,-84.196379,3392.716644,0.898702
34.63744,-84.195792,3381.561788,0.938335
34.637525,-84.19528,3374.34394,0.968914
34.637665,-84.195316,3372.70352,0.979048
34.637757,-84.195032,3378.280948,0.996924
34.637495,-84.19366,3384.18646,1.0793
34.637994,-84.192333,3384.842628,1.164577
34.638221,-84.192108,3378.280948,1.185384
34.638873,-84.191945,3360.892496,1.232623
34.639506,-84.191593,3352.690396,1.281952
34.639959,-84.19148,3346.128716,1.314711
34.640181,-84.191286,3341.53554,1.334112
34.641075,-84.191258,3310.039476,1.397699
34.641788,-84.191586,3282.152336,1.451955
34.642139,-84.191663,3273.622152,1.477255
34.642597,-84.191478,3265.748136,1.511461
34.643491,-84.191411,3231.299316,1.575206
34.643668,-84.191326,3227.034224,1.588708
34.643809,-84.191483,3221.128712,1.602318
34.644035,-84.191249,3214.567032,1.623407
34.644384,-84.191183,3232.611652,1.648651
34.64472,-84.190931,3237.860996,1.676647
34.645192,-84.190902,3246.719264,1.710138
34.645575,-84.191158,3249.015852,1.741108
34.645805,-84.191617,3254.921364,1.772524
34.646204,-84.191957,3261.15496,1.807083
34.64734,-84.192357,3283.464672,1.890927
34.647717,-84.192331,3288.714016,1.91767
34.647837,-84.192532,3288.714016,1.932173
34.647792,-84.192977,3277.55916,1.958483
34.647954,-84.193725,3261.483044,2.003817
34.647861,-84.194112,3253.609028,2.027438
34.646917,-84.195087,3225.393804,2.115446
34.646317,-84.195412,3246.39118,2.162148
34.645959,-84.195916,3205.052596,2.20184
34.645939,-84.196822,3155.839996,2.255706
34.646264,-84.19727,3104.986976,2.291947
34.646214,-84.197731,3128.937108,2.319537
34.646863,-84.198351,3072.50666,2.379077
34.64678,-84.198587,3082.021096,2.394192
34.646877,-84.198709,3069.881988,2.404371
34.647203,-84.198715,3043.635268,2.428003
34.647991,-84.19845,2992.12608,2.486745
34.648588,-84.198704,2983.267812,2.531564
